id	title	artist	album	fans	preview	release_date	genre
739241032	Beverly Hills	Zivert	Vinyl #1	2834	https://cdns-preview-a.dzcdn.net/stream/c-a334c7ea04c402d970cce14b0d54cef9-6.mp3	2019-09-27	Поп
104936008	Way Down We Go	Kaleo	Way down We Go	48691	https://cdns-preview-4.dzcdn.net/stream/c-4d5cff9690fa1385d489d21fa5fcab75-6.mp3	2015-08-07	Альтернативная музыка
1200359872	Your Love (9PM)	ATB	Your Love (9PM)	749	https://cdns-preview-c.dzcdn.net/stream/c-c05bdc739080e4b89a91322b1c263846-4.mp3	2021-01-15	Танцевальная музыка
677232	Numb	Linkin Park	Meteora (Bonus Edition)	209772	https://cdns-preview-1.dzcdn.net/stream/c-1cdfe90120447061efa70135a552152c-12.mp3	2003-03-24	Альтернативная музыка
852655742	Луна не знает пути	Тайпан	Луна не знает пути	912	https://cdns-preview-2.dzcdn.net/stream/c-2cf3d3e2ca3c0a254543c364d6e431ba-6.mp3	2020-01-14	Поп
458840332	Выхода нет	Сплин	Гранатовый альбом	807	https://cdns-preview-b.dzcdn.net/stream/c-b4e658d7a66795e686ba2dc8860aca33-4.mp3	2018-02-07	Рок
1028256512	Mood (feat. iann dior)	24kgoldn	Mood (feat. iann dior)	9845	https://cdns-preview-8.dzcdn.net/stream/c-8d36725c4db05a32d351b934ca529818-4.mp3	2020-07-24	Rap/Hip Hop
886766742	ily (i love you baby)	Surf Mesa	ily (i love you baby)	13398	https://cdns-preview-1.dzcdn.net/stream/c-10cae8a14da8c4bf7410cb3967685759-6.mp3	2020-02-25	Танцевальная музыка
1222078302	Аквадискотека	Александр Гудков	Аквадискотека	17	https://cdns-preview-d.dzcdn.net/stream/c-de211109b894e799f218f4b13b04e9c1-4.mp3	2021-01-25	Поп
2114406	Nothing Else Matters	Metallica	Metallica	188734	https://cdns-preview-b.dzcdn.net/stream/c-bd4c3e7cd1a7ed330ffe5e212af5815e-6.mp3	2008-08-18	Поп
1190819312	Cristal & МОЁТ	Morgenshtern	Cristal & МОЁТ	577	https://cdns-preview-1.dzcdn.net/stream/c-19398d9e48d5a89eb250f04dd2a3a48e-3.mp3	2020-12-28	Rap/Hip Hop
61638497	She's The Sun	Scooter	Sheffield	1036	https://cdns-preview-6.dzcdn.net/stream/c-65feb9c9c8de0226921b2f5e420d081c-2.mp3	2000-06-26	Электронная музыка
990604232	GIRL LIKE ME	Black Eyed Peas	TRANSLATION	74246	https://cdns-preview-f.dzcdn.net/stream/c-f504fc4c6dc19095b651e72fef699674-3.mp3	2020-11-02	Поп
827958002	Salt	Ava Max	Salt	5804	https://cdns-preview-f.dzcdn.net/stream/c-f6c0f1b49a12c983a88ae04819169a39-5.mp3	2019-12-12	Поп
921104532	MAMACITA	Black Eyed Peas	MAMACITA	9666	https://cdns-preview-6.dzcdn.net/stream/c-6f4d9f2e58dfb7430b43120be90ee4e3-5.mp3	2020-04-10	Поп
1063957682	Dynamite	BTS	Dynamite (DayTime Version)	27220	https://cdns-preview-1.dzcdn.net/stream/c-1788c4b527cc1e76ef671e0b77d1d2c9-7.mp3	2020-08-28	Азиатская музыка
1092293262	Seven Nation Army	The White Stripes	Elephant	2213	https://cdns-preview-3.dzcdn.net/stream/c-38a2a61fb4bcae9062c224704c3dd3aa-3.mp3	2003-04-01	Альтернативная музыка
664107	Take on Me	a-ha	Hunting High and Low	27584	https://cdns-preview-e.dzcdn.net/stream/c-e817b793ead610762756f4f3a48dfcd9-13.mp3	1985-06-12	Поп
